train,test,auc_all,tpr_all,auc_oor,tpr_oor,fpr_healthy_flt_at_1pct,n_healthy_flt
PMSG,PMSG,0.8607731568256072,0.6296077853140667,0.8530856090851493,0.6234149218519611,0.028368794326241134,141
SCIG,SCIG,0.9153787399815804,0.7651266766020864,0.9073923729978863,0.7624441132637854,0.007142857142857143,140
WFSG,WFSG,0.9736410910067428,0.9287812041116006,0.9732327813723115,0.9273127753303965,,0
PMSG,SCIG,0.882923887961047,0.617585692995529,0.8765239810356675,0.5997019374068554,0.0,140
PMSG,WFSG,0.9743651742653758,0.9030837004405287,0.9755829452011593,0.8942731277533039,,0
SCIG,PMSG,0.8130666781227783,0.36301975818342674,0.8001937356076635,0.34562076083751103,0.0,141
SCIG,WFSG,0.9512815476695424,0.868575624082232,0.9564226883865763,0.8619676945668135,,0
WFSG,PMSG,0.8580058328348108,0.5328811560011796,0.8437793106270084,0.5193158360365674,0.0070921985815602835,141
WFSG,SCIG,0.9089088519837425,0.6211624441132638,0.8948241568032448,0.6116244411326378,0.0,140
SCIG+WFSG,PMSG,0.8424268704082047,0.4314361545266883,0.8284794798111885,0.41374225892067235,0.0,141
PMSG+WFSG,SCIG,0.886497847560331,0.6289120715350224,0.8784998756189284,0.614903129657228,0.0,140
PMSG+SCIG,WFSG,0.9710657572602392,0.8928046989720999,0.9737363434463482,0.8832599118942731,,0
